Lead_ID,App_Engagement_Mins,Web_Configurator_Status,Test_Drive_Completed,Last_Contact_Days,Purchase,Engagement_Density,High_Intent_Signal,Attrition_Risk,Lead_Source_Social Media,Lead_Source_Unknown_Source_999,Lead_Source_Walk-in,Lead_Source_Web Search,Lead_Temperature_Hot,Lead_Temperature_Warm
75efda40,35.90519084803855,0,0,31,0,1.1220372140012047,0,1,False,False,False,False,False,False
1d713dd3,22.41697095323381,1,0,14,0,1.4944647302155873,0,0,True,False,False,False,False,True
c4ce3256,20.734253765564304,0,0,12,0,1.5949425973511002,0,0,False,False,False,True,False,True
24c1931f,20.73453441497701,0,0,4,1,4.146906882995402,0,0,False,False,True,False,True,False
c1494202,,1,0,74,0,,0,0,False,False,False,True,False,False
17a8960e,43.000593464463336,0,0,73,0,0.5810891008711262,0,1,True,False,False,False,False,False
128a04af,16.966170026113485,0,0,51,0,0.32627250050218237,0,1,False,False,False,True,False,False
fc4cc2bc,37.0472171014682,0,0,76,0,0.48113268962945716,0,1,True,False,False,False,False,False
986d1370,29.984403960969704,0,1,40,0,0.7313269258773099,0,1,False,False,True,False,False,False
71d0f98c,3.238724152358781,0,0,52,0,0.061108002874693985,0,1,False,False,False,True,False,False
6b2f3727,10.068634240315594,1,0,49,0,0.20137268480631187,0,1,False,False,False,True,False,False
fa85e10e,31.59248456022245,0,1,14,0,2.1061656373481634,0,0,True,False,False,False,False,True
dbe42a64,65.47765301225293,0,1,6,1,9.353950430321847,0,0,True,False,False,False,True,False
0499ec5a,20.877782774387192,1,0,39,0,0.5219445693596798,0,1,False,False,False,False,False,False
0681eb6b,15.870411585814557,1,0,27,0,0.5668004137790913,0,0,True,False,False,False,False,True
4b479b7b,27.21011312208249,0,0,31,0,0.8503160350650778,0,1,True,False,False,False,False,False
3863e014,15.079267210771464,0,0,14,0,1.0052844807180976,0,0,False,False,False,False,False,True
0a3eb534,,0,0,84,0,,0,0,True,False,False,False,False,False
bba08b77,24.73953718410397,0,0,69,0,0.35342195977291385,0,1,True,False,False,False,False,False
157174fc,9.602059572658254,0,0,64,0,0.1477239934255116,0,1,False,False,False,False,False,False
6853f949,44.55090141319709,0,0,3,1,11.137725353299272,0,0,False,False,True,False,True,False
db39ecb0,8.027721694185601,1,0,10,0,0.7297928812896001,0,0,False,False,True,False,False,True
11c846a7,7.091901657520101,0,0,25,0,0.27276544836615774,0,0,True,False,False,False,False,True
96f3b099,29.009256268322023,0,0,60,0,0.4755615781692135,0,1,True,False,False,False,False,False
52336690,42.20030711968576,0,0,36,0,1.1405488410725881,0,1,False,False,False,False,False,False
